"ad_click","age","gender","income","location","device","interest_category","time_spent_on_site","number_of_pages_viewed"
0,63,"female",77179,"urban","mobile","Technology",4,6
0,62,"female",151523,"urban","desktop","Technology",31,11
1,26,"male",26061,"suburban","desktop","Technology",5,24
1,65,"female",245997,"suburban","desktop","Fashion",52,23
1,50,"female",234423,"urban","desktop","Travel",58,13
1,26,"male",232134,"urban","desktop","Sports",27,2
1,33,"male",221630,"rural","mobile","Technology",44,19
1,24,"male",44149,"urban","mobile","Sports",8,11
0,44,"female",194234,"suburban","desktop","Fashion",38,15
1,33,"male",76788,"urban","mobile","Travel",16,3
0,46,"male",25732,"urban","desktop","Travel",9,20
1,31,"male",125367,"rural","desktop","Fashion",5,19
0,60,"male",56360,"urban","mobile","Sports",49,2
1,52,"female",114511,"rural","desktop","Fashion",36,2
1,32,"female",233902,"suburban","desktop","Fashion",42,24
1,50,"female",134784,"urban","mobile","Fashion",24,11
1,34,"male",221820,"rural","desktop","Technology",15,13
1,27,"male",98903,"urban","mobile","Travel",59,7
0,34,"female",87053,"urban","desktop","Sports",37,6
0,29,"female",65621,"urban","desktop","Technology",4,21
1,30,"female",97530,"urban","desktop","Technology",6,23
1,66,"female",177339,"suburban","desktop","Travel",13,25
1,25,"male",145276,"urban","desktop","Sports",59,5
0,20,"male",100882,"urban","mobile","Fashion",50,15
0,63,"female",160290,"suburban","mobile","Travel",28,11
1,24,"male",34962,"rural","desktop","Technology",39,23
0,52,"female",128178,"rural","desktop","Technology",48,22
1,48,"male",236105,"urban","mobile","Fashion",5,15
0,36,"female",48728,"rural","desktop","Sports",26,11
1,53,"male",249747,"suburban","desktop","Fashion",18,20
1,39,"female",104072,"urban","mobile","Sports",45,17
1,37,"female",143488,"suburban","mobile","Sports",11,2
0,57,"male",77772,"urban","desktop","Travel",48,22
1,23,"male",215193,"suburban","mobile","Sports",26,13
1,36,"male",127396,"urban","desktop","Travel",18,20
0,68,"female",50383,"urban","mobile","Sports",51,9
1,68,"female",231393,"suburban","mobile","Travel",51,23
1,40,"female",221373,"rural","desktop","Technology",37,6
1,23,"male",189388,"suburban","desktop","Technology",6,13
1,44,"female",109739,"urban","mobile","Travel",8,3
0,57,"female",220721,"rural","desktop","Travel",9,3
0,66,"female",20663,"suburban","mobile","Fashion",49,20
1,46,"female",58157,"urban","desktop","Fashion",37,20
1,31,"male",192537,"suburban","desktop","Travel",46,17
1,41,"male",55344,"rural","desktop","Technology",29,11
0,47,"male",123633,"suburban","mobile","Technology",15,3
1,23,"male",171303,"urban","desktop","Technology",10,9
0,46,"female",35927,"urban","desktop","Travel",5,11
0,39,"male",132716,"urban","mobile","Fashion",44,3
0,52,"male",41793,"suburban","mobile","Travel",52,20
1,37,"male",185533,"urban","desktop","Technology",33,14
0,62,"male",131843,"rural","desktop","Fashion",47,18
0,61,"female",164078,"suburban","mobile","Technology",4,10
0,33,"male",149544,"suburban","mobile","Technology",3,8
1,59,"female",179884,"rural","mobile","Travel",8,12
0,38,"male",72141,"urban","desktop","Fashion",47,15
1,46,"male",28233,"suburban","desktop","Fashion",22,17
0,65,"male",211725,"urban","desktop","Fashion",21,4
1,30,"female",179789,"suburban","mobile","Sports",34,3
1,21,"male",242201,"urban","desktop","Fashion",13,1
1,18,"male",211780,"urban","desktop","Technology",40,2
1,47,"male",116345,"urban","mobile","Fashion",36,7
1,29,"female",60725,"urban","mobile","Fashion",50,25
1,63,"male",81809,"urban","desktop","Sports",47,23
1,22,"male",156340,"urban","desktop","Sports",3,20
1,51,"female",249221,"suburban","desktop","Fashion",50,24
1,36,"female",104515,"suburban","desktop","Fashion",54,22
1,18,"female",126476,"suburban","desktop","Travel",14,15
0,58,"male",121645,"urban","desktop","Fashion",56,7
1,32,"male",20870,"urban","desktop","Fashion",26,9
0,53,"male",152761,"urban","desktop","Technology",6,6
1,36,"female",170979,"urban","desktop","Technology",31,21
1,70,"female",180567,"urban","mobile","Technology",22,14
0,64,"female",77225,"suburban","desktop","Sports",26,1
1,19,"female",144500,"suburban","mobile","Sports",60,11
1,48,"female",112609,"suburban","desktop","Technology",29,1
1,63,"male",98160,"rural","mobile","Fashion",19,22
1,25,"male",145287,"suburban","desktop","Sports",20,12
1,38,"male",46398,"urban","desktop","Fashion",32,19
1,35,"male",157842,"urban","desktop","Travel",18,10
0,55,"female",180958,"suburban","mobile","Fashion",12,21
1,26,"male",21880,"urban","desktop","Sports",20,13
1,35,"female",207140,"urban","desktop","Sports",13,25
