bedrooms,bathrooms,area,lot_size,floors,age,garage,fireplace,renovated,neighborhood,distance_city,price,price_hilo
3,3.5,2629,7472.0,2,31,1,0,0,1,5.13,772821.0,0
3,3.0,2748,2543.0,2,7,1,0,1,1,3.36,949471.0,1
4,4.5,3159,3545.0,1,27,1,0,0,1,3.26,889425.0,1
3,3.5,1835,1581.0,1,10,1,0,1,1,4.93,647087.0,0
3,3.0,2962,2318.0,2,37,1,0,0,1,6.77,826679.0,1
5,5.0,3513,2335.0,2,50,1,0,1,1,10.36,1014971.0,1
4,5.0,3204,2212.0,1,16,0,1,0,1,2.77,892605.0,1
2,2.5,1522,2721.0,1,113,0,0,0,1,3.04,455516.0,0
2,2.0,1252,4725.0,1,24,1,0,0,1,11.81,418578.0,0
5,5.0,3915,3230.0,3,62,1,1,0,1,4.87,1099071.0,1
6,5.0,4204,3675.0,2,40,0,0,0,1,7.02,1162952.0,1
3,3.5,3106,5349.0,1,45,1,1,0,1,12.21,854925.0,1
5,5.0,3156,1917.0,2,16,1,1,0,1,12.12,903717.0,1
4,4.0,2891,3989.0,1,10,1,0,1,1,2.58,919368.0,1
4,4.0,3105,4069.0,1,37,1,0,1,1,2.88,923268.0,1
2,3.0,1682,6334.0,2,54,1,1,0,1,10.7,477963.0,0
5,5.0,3211,3074.0,2,75,0,0,0,1,13.3,907783.0,1
4,4.5,2851,3770.0,1,95,1,0,0,1,2.08,848045.0,1
2,2.5,1345,6089.0,2,97,1,0,0,1,3.31,537891.0,0
6,5.0,4205,2850.0,1,81,1,0,0,1,8.46,1090781.0,1
4,4.5,3257,6158.0,1,52,0,0,0,0,12.95,826750.0,1
3,3.0,2533,2889.0,1,21,1,0,0,1,2.72,716002.0,0
5,5.0,3520,7867.0,1,17,0,1,0,1,5.55,1017909.0,1
4,4.5,3133,7075.0,2,17,0,1,0,0,13.06,855059.0,1
3,4.0,2365,4902.0,1,58,1,0,1,1,2.49,861484.0,1
6,5.0,3853,10982.0,1,67,0,0,0,1,10.06,1161100.0,1
4,4.5,3420,1903.0,2,92,1,1,1,0,11.14,961209.0,1
2,3.0,1731,2167.0,3,124,1,1,0,0,14.09,556758.0,0
4,4.5,2440,1926.0,1,44,0,0,0,1,3.31,744378.0,0
3,3.5,2649,1587.0,2,30,1,1,0,0,10.36,650196.0,0
3,3.5,2202,5394.0,2,102,1,0,0,1,9.13,607787.0,0
3,3.0,2402,3439.0,1,75,1,1,0,1,2.87,814301.0,1
4,4.0,3241,4973.0,1,23,1,0,1,0,12.63,886395.0,1
5,5.0,3513,3118.0,2,24,1,1,0,1,6.85,1109903.0,1
3,4.0,1897,4439.0,1,5,1,0,1,1,6.93,664361.0,0
4,4.0,2844,4176.0,3,80,0,1,0,1,10.28,826742.0,1
5,5.0,4033,3557.0,2,32,0,0,0,0,14.83,1043831.0,1
4,5.0,3136,3354.0,1,39,1,1,1,0,10.92,777290.0,0
4,4.0,2893,9231.0,1,99,1,1,0,1,6.46,904872.0,1
4,4.0,3129,2673.0,2,74,1,0,0,0,14.75,749762.0,0
1,1.5,1566,7255.0,1,36,1,1,0,1,9.9,517336.0,0
5,5.0,3611,2977.0,1,97,1,1,0,1,10.66,1021487.0,1
2,2.0,1171,2524.0,2,9,1,1,1,0,23.93,361949.0,0
1,2.0,1437,3221.0,2,68,1,1,0,1,11.05,415114.0,0
4,4.5,3135,3284.0,1,52,1,1,0,0,11.45,903363.0,1
2,2.0,2246,1533.0,1,72,1,0,0,1,7.18,673811.0,0
3,3.5,2551,3293.0,2,2,1,1,1,1,10.03,833302.0,1
3,3.0,2232,6479.0,1,5,1,0,1,1,2.81,792904.0,1
1,1.5,702,4083.0,1,4,1,1,1,0,10.85,375552.0,0
4,4.5,3129,5348.0,2,14,1,1,1,1,2.1,920016.0,1
4,4.5,3471,3019.0,1,9,1,1,1,1,9.31,1009366.0,1
4,4.0,2386,1973.0,1,49,1,0,0,0,20.22,640221.0,0
3,3.5,2652,2167.0,1,47,1,0,0,1,8.69,739559.0,0
3,4.0,2920,2024.0,1,16,1,0,0,1,9.34,829338.0,1
6,5.0,4034,2259.0,1,61,0,0,0,0,24.7,916492.0,1
4,4.5,3394,7048.0,2,59,0,1,0,1,3.05,946578.0,1
6,5.0,4155,10690.0,2,92,1,0,1,1,4.27,1209325.0,1
5,5.0,3630,6304.0,3,26,1,0,1,1,7.08,1058504.0,1
3,3.5,2698,1702.0,1,14,1,1,0,1,2.01,871341.0,1
3,3.0,1899,4097.0,1,88,1,1,0,1,2.06,676755.0,0
2,2.0,1896,2135.0,1,34,1,1,0,1,4.31,589717.0,0
4,4.5,3684,2809.0,1,85,1,0,0,0,17.21,915742.0,1
1,1.0,1061,2164.0,2,101,0,1,0,1,7.59,343865.0,0
2,3.0,1268,4876.0,3,29,0,1,0,1,2.96,494406.0,0
